#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.018689  0.447924  0.002615
    9011  0.018697  0.447929  0.002614
    9021  0.018708  0.447939  0.002614
    9031  0.018735  0.447953  0.002614
    9041  0.018750  0.447972  0.002613
    9051  0.018760  0.447997  0.002613
    9061  0.018790  0.448023  0.002613
    9071  0.018829  0.448047  0.002612
    9081  0.018863  0.448071  0.002612
    9091  0.018861  0.448097  0.002612
    9101  0.018862  0.448125  0.002612
    9111  0.018843  0.448148  0.002612
    9121  0.018831  0.448170  0.002612
    9131  0.018807  0.448186  0.002611
    9141  0.018799  0.448202  0.002611
    9151  0.018788  0.448216  0.002611
    9161  0.018772  0.448227  0.002611
    9171  0.018769  0.448239  0.002611
    9181  0.018796  0.448255  0.002610
    9191  0.018797  0.448273  0.002610
    9201  0.018832  0.448291  0.002610
    9211  0.018839  0.448312  0.002610
    9221  0.018847  0.448337  0.002609
    9231  0.018847  0.448364  0.002609
    9241  0.018851  0.448393  0.002609
    9251  0.018852  0.448424  0.002609
    9261  0.018839  0.448453  0.002608
    9271  0.018842  0.448484  0.002608
    9281  0.018840  0.448516  0.002608
    9291  0.018843  0.448551  0.002607
    9301  0.018850  0.448589  0.002607
    9311  0.018889  0.448622  0.002606
    9321  0.018896  0.448658  0.002606
    9331  0.018887  0.448693  0.002606
    9341  0.018876  0.448727  0.002605
    9351  0.018869  0.448760  0.002605
    9361  0.018857  0.448792  0.002605
    9371  0.018834  0.448819  0.002604
    9381  0.018807  0.448840  0.002604
    9391  0.018812  0.448864  0.002604
    9401  0.018800  0.448886  0.002603
    9411  0.018782  0.448905  0.002603
    9421  0.018810  0.448926  0.002603
    9431  0.018803  0.448946  0.002602
    9441  0.018799  0.448968  0.002602
    9451  0.018805  0.448991  0.002601
    9461  0.018812  0.449018  0.002601
    9471  0.018788  0.449040  0.002601
    9481  0.018761  0.449057  0.002600
    9491  0.018745  0.449072  0.002600
    9501  0.018738  0.449086  0.002600
    9511  0.018737  0.449101  0.002599
    9521  0.018725  0.449115  0.002599
    9531  0.018761  0.449125  0.002599
    9541  0.018747  0.449133  0.002598
    9551  0.018756  0.449144  0.002598
    9561  0.018760  0.449158  0.002598
    9571  0.018747  0.449170  0.002597
    9581  0.018732  0.449180  0.002597
    9591  0.018712  0.449186  0.002597
    9601  0.018713  0.449194  0.002596
    9611  0.018716  0.449203  0.002596
    9621  0.018716  0.449215  0.002596
    9631  0.018700  0.449223  0.002595
    9641  0.018714  0.449236  0.002595
    9651  0.018727  0.449251  0.002595
    9661  0.018753  0.449268  0.002594
    9671  0.018776  0.449288  0.002594
    9681  0.018775  0.449309  0.002594
    9691  0.018761  0.449328  0.002593
    9701  0.018743  0.449344  0.002593
    9711  0.018731  0.449358  0.002593
    9721  0.018722  0.449372  0.002592
    9731  0.018709  0.449384  0.002592
    9741  0.018735  0.449397  0.002592
    9751  0.018776  0.449402  0.002591
    9761  0.018794  0.449409  0.002591
    9771  0.018821  0.449418  0.002591
    9781  0.018843  0.449430  0.002591
    9791  0.018851  0.449444  0.002591
    9801  0.018865  0.449461  0.002591
    9811  0.018876  0.449481  0.002591
    9821  0.018899  0.449504  0.002590
    9831  0.018872  0.449522  0.002590
    9841  0.018840  0.449535  0.002590
    9851  0.018838  0.449549  0.002590
    9861  0.018855  0.449566  0.002590
    9871  0.018848  0.449583  0.002590
    9881  0.018860  0.449602  0.002590
    9891  0.018889  0.449621  0.002590
    9901  0.018907  0.449643  0.002590
    9911  0.018897  0.449664  0.002590
    9921  0.018891  0.449685  0.002590
    9931  0.018882  0.449704  0.002590
    9941  0.018896  0.449727  0.002590
    9951  0.018889  0.449749  0.002590
    9961  0.018863  0.449767  0.002590
    9971  0.018846  0.449783  0.002590
    9981  0.018816  0.449794  0.002590
    9991  0.018800  0.449804  0.002590
