#  Iter.   M_avg.    U_Bind.    Susc.
    9001  0.156033  0.649223  0.017811
    9011  0.156017  0.649229  0.017806
    9021  0.156002  0.649234  0.017801
    9031  0.155962  0.649239  0.017795
    9041  0.155942  0.649244  0.017790
    9051  0.155935  0.649250  0.017784
    9061  0.155949  0.649255  0.017778
    9071  0.155964  0.649261  0.017772
    9081  0.155988  0.649267  0.017766
    9091  0.156007  0.649273  0.017759
    9101  0.156037  0.649280  0.017753
    9111  0.156046  0.649286  0.017746
    9121  0.156055  0.649293  0.017740
    9131  0.156035  0.649299  0.017733
    9141  0.156037  0.649306  0.017726
    9151  0.156036  0.649313  0.017719
    9161  0.156055  0.649320  0.017712
    9171  0.156059  0.649328  0.017704
    9181  0.156035  0.649335  0.017697
    9191  0.156040  0.649342  0.017689
    9201  0.156068  0.649350  0.017682
    9211  0.156104  0.649357  0.017674
    9221  0.156127  0.649365  0.017666
    9231  0.156143  0.649373  0.017658
    9241  0.156164  0.649381  0.017651
    9251  0.156167  0.649389  0.017643
    9261  0.156177  0.649397  0.017635
    9271  0.156152  0.649405  0.017626
    9281  0.156139  0.649414  0.017618
    9291  0.156132  0.649422  0.017610
    9301  0.156125  0.649430  0.017601
    9311  0.156088  0.649439  0.017593
    9321  0.156076  0.649447  0.017584
    9331  0.156074  0.649455  0.017576
    9341  0.156078  0.649464  0.017567
    9351  0.156082  0.649472  0.017558
    9361  0.156098  0.649481  0.017549
    9371  0.156118  0.649490  0.017540
    9381  0.156130  0.649499  0.017531
    9391  0.156170  0.649508  0.017522
    9401  0.156182  0.649517  0.017513
    9411  0.156171  0.649526  0.017504
    9421  0.156175  0.649535  0.017495
    9431  0.156170  0.649544  0.017486
    9441  0.156147  0.649553  0.017477
    9451  0.156134  0.649562  0.017467
    9461  0.156135  0.649572  0.017458
    9471  0.156135  0.649581  0.017448
    9481  0.156142  0.649590  0.017439
    9491  0.156160  0.649600  0.017429
    9501  0.156188  0.649609  0.017420
    9511  0.156222  0.649619  0.017410
    9521  0.156256  0.649628  0.017401
    9531  0.156265  0.649638  0.017391
    9541  0.156268  0.649648  0.017381
    9551  0.156300  0.649657  0.017372
    9561  0.156322  0.649667  0.017362
    9571  0.156332  0.649677  0.017352
    9581  0.156329  0.649687  0.017343
    9591  0.156339  0.649696  0.017333
    9601  0.156343  0.649706  0.017323
    9611  0.156363  0.649716  0.017313
    9621  0.156381  0.649726  0.017303
    9631  0.156393  0.649737  0.017293
    9641  0.156389  0.649747  0.017283
    9651  0.156379  0.649757  0.017273
    9661  0.156401  0.649767  0.017263
    9671  0.156418  0.649777  0.017253
    9681  0.156414  0.649788  0.017243
    9691  0.156410  0.649798  0.017233
    9701  0.156423  0.649809  0.017223
    9711  0.156433  0.649819  0.017212
    9721  0.156428  0.649829  0.017202
    9731  0.156426  0.649840  0.017192
    9741  0.156409  0.649850  0.017181
    9751  0.156387  0.649861  0.017171
    9761  0.156387  0.649871  0.017161
    9771  0.156402  0.649882  0.017150
    9781  0.156411  0.649892  0.017140
    9791  0.156429  0.649903  0.017129
    9801  0.156390  0.649913  0.017119
    9811  0.156352  0.649924  0.017109
    9821  0.156320  0.649934  0.017099
    9831  0.156291  0.649944  0.017088
    9841  0.156262  0.649954  0.017078
    9851  0.156221  0.649963  0.017068
    9861  0.156168  0.649973  0.017059
    9871  0.156132  0.649982  0.017049
    9881  0.156112  0.649991  0.017039
    9891  0.156111  0.650000  0.017030
    9901  0.156127  0.650010  0.017020
    9911  0.156140  0.650019  0.017010
    9921  0.156138  0.650028  0.017001
    9931  0.156147  0.650038  0.016991
    9941  0.156133  0.650047  0.016981
    9951  0.156123  0.650057  0.016971
    9961  0.156111  0.650066  0.016961
    9971  0.156121  0.650075  0.016951
    9981  0.156114  0.650085  0.016941
    9991  0.156081  0.650094  0.016932
